customer_id,age,gender,income,monthly_spending,transaction_count,days_since_last_transaction,savings_rate,loan_balance,credit_score,num_accounts,segment,주거래은행,여신잔액_만원,수신잔액_만원,카드실적_만원,외환거래_달러,펀드잔액_만원
C001,42,M,15000000,5200000,48,3,0.42,12000000,920,6,VIP,KB국민,1200,4800,480,8500,5500
C002,38,F,12000000,4100000,42,2,0.38,0,890,5,VIP,신한,0,5500,390,7200,7200
C003,51,M,18000000,6800000,55,1,0.45,25000000,965,8,VIP,KB국민,2500,6800,650,15000,10000
C004,45,F,13500000,4600000,50,4,0.4,8000000,905,7,VIP,신한,800,5200,430,9000,6500
C005,47,M,16000000,5800000,52,2,0.43,15000000,940,6,VIP,KB국민,1500,5800,540,10000,7500
C006,39,F,11000000,3800000,38,5,0.35,5000000,875,5,VIP,신한,500,4200,360,5500,4000
C007,55,M,20000000,7500000,58,1,0.48,30000000,975,8,VIP,KB국민,3000,8500,720,18000,13000
C008,43,M,14000000,4800000,45,3,0.41,10000000,915,6,VIP,KB국민,1000,4600,460,7800,5800
C009,36,F,9500000,3200000,35,6,0.32,0,855,4,VIP,신한,0,4000,310,4500,3500
C010,48,M,17000000,6200000,53,2,0.46,20000000,950,7,VIP,KB국민,2000,6200,590,12000,8500
C011,40,F,10500000,3600000,39,4,0.36,3000000,870,5,VIP,하나,300,3800,350,4000,3200
C012,53,M,19000000,7000000,56,1,0.47,28000000,970,8,VIP,KB국민,2800,7500,670,16000,11500
C013,37,F,10000000,3400000,37,7,0.33,2000000,860,4,VIP,하나,200,3600,330,3800,2800
C014,44,M,15500000,5400000,49,3,0.43,13000000,925,6,VIP,신한,1300,5100,500,9500,6200
C015,49,F,14500000,5000000,47,2,0.41,9000000,910,6,VIP,신한,900,4900,470,8000,5900
C016,41,M,12500000,4300000,43,5,0.39,6000000,885,5,VIP,하나,600,4300,410,6000,4500
C017,46,F,13000000,4500000,46,3,0.4,7000000,895,6,VIP,하나,700,4500,430,6500,4800
C018,35,M,9000000,3100000,34,8,0.31,0,840,4,VIP,우리,0,3200,300,3500,2500
